combo number,number of members,member(s)
0,2,s1,s2
1,2,s1,s3
2,2,s1,s4
3,2,s1,s5
4,2,s1,s6
5,2,s1,s7
6,2,s1,s8
7,2,s1,s9
8,2,s1,s10
9,2,s1,s11
10,2,s1,s12
11,2,s1,s13
12,2,s1,s14
13,2,s1,s15
14,2,s1,s16
15,2,s1,s17
16,2,s1,s18
17,2,s1,s19
18,2,s1,s20
19,2,s1,s21
20,2,s1,s22
21,2,s1,s23
22,2,s1,s24
23,2,s2,s3
24,2,s2,s4
25,2,s2,s5
26,2,s2,s6
27,2,s2,s7
28,2,s2,s8
29,2,s2,s9
30,2,s2,s10
31,2,s2,s11
32,2,s2,s12
33,2,s2,s13
34,2,s2,s14
35,2,s2,s15
36,2,s2,s16
37,2,s2,s17
38,2,s2,s18
39,2,s2,s19
40,2,s2,s20
41,2,s2,s21
42,2,s2,s22
43,2,s2,s23
44,2,s2,s24
45,2,s3,s4
46,2,s3,s5
47,2,s3,s6
48,2,s3,s7
49,2,s3,s8
50,2,s3,s9
51,2,s3,s10
52,2,s3,s11
53,2,s3,s12
54,2,s3,s13
55,2,s3,s14
56,2,s3,s15
57,2,s3,s16
58,2,s3,s17
59,2,s3,s18
60,2,s3,s19
61,2,s3,s20
62,2,s3,s21
63,2,s3,s22
64,2,s3,s23
65,2,s3,s24
66,2,s4,s5
67,2,s4,s6
68,2,s4,s7
69,2,s4,s8
70,2,s4,s9
71,2,s4,s10
72,2,s4,s11
73,2,s4,s12
74,2,s4,s13
75,2,s4,s14
76,2,s4,s15
77,2,s4,s16
78,2,s4,s17
79,2,s4,s18
80,2,s4,s19
81,2,s4,s20
82,2,s4,s21
83,2,s4,s22
84,2,s4,s23
85,2,s4,s24
86,2,s5,s6
87,2,s5,s7
88,2,s5,s8
89,2,s5,s9
90,2,s5,s10
91,2,s5,s11
92,2,s5,s12
93,2,s5,s13
94,2,s5,s14
95,2,s5,s15
96,2,s5,s16
97,2,s5,s17
98,2,s5,s18
99,2,s5,s19
100,2,s5,s20
101,2,s5,s21
102,2,s5,s22
103,2,s5,s23
104,2,s5,s24
105,2,s6,s7
106,2,s6,s8
107,2,s6,s9
108,2,s6,s10
109,2,s6,s11
110,2,s6,s12
111,2,s6,s13
112,2,s6,s14
113,2,s6,s15
114,2,s6,s16
115,2,s6,s17
116,2,s6,s18
117,2,s6,s19
118,2,s6,s20
119,2,s6,s21
120,2,s6,s22
121,2,s6,s23
122,2,s6,s24
123,2,s7,s8
124,2,s7,s9
125,2,s7,s10
126,2,s7,s11
127,2,s7,s12
128,2,s7,s13
129,2,s7,s14
130,2,s7,s15
131,2,s7,s16
132,2,s7,s17
133,2,s7,s18
134,2,s7,s19
135,2,s7,s20
136,2,s7,s21
137,2,s7,s22
138,2,s7,s23
139,2,s7,s24
140,2,s8,s9
141,2,s8,s10
142,2,s8,s11
143,2,s8,s12
144,2,s8,s13
145,2,s8,s14
146,2,s8,s15
147,2,s8,s16
148,2,s8,s17
149,2,s8,s18
150,2,s8,s19
151,2,s8,s20
152,2,s8,s21
153,2,s8,s22
154,2,s8,s23
155,2,s8,s24
156,2,s9,s10
157,2,s9,s11
158,2,s9,s12
159,2,s9,s13
160,2,s9,s14
161,2,s9,s15
162,2,s9,s16
163,2,s9,s17
164,2,s9,s18
165,2,s9,s19
166,2,s9,s20
167,2,s9,s21
168,2,s9,s22
169,2,s9,s23
170,2,s9,s24
171,2,s10,s11
172,2,s10,s12
173,2,s10,s13
174,2,s10,s14
175,2,s10,s15
176,2,s10,s16
177,2,s10,s17
178,2,s10,s18
179,2,s10,s19
180,2,s10,s20
181,2,s10,s21
182,2,s10,s22
183,2,s10,s23
184,2,s10,s24
185,2,s11,s12
186,2,s11,s13
187,2,s11,s14
188,2,s11,s15
189,2,s11,s16
190,2,s11,s17
191,2,s11,s18
192,2,s11,s19
193,2,s11,s20
194,2,s11,s21
195,2,s11,s22
196,2,s11,s23
197,2,s11,s24
198,2,s12,s13
199,2,s12,s14
200,2,s12,s15
201,2,s12,s16
202,2,s12,s17
203,2,s12,s18
204,2,s12,s19
205,2,s12,s20
206,2,s12,s21
207,2,s12,s22
208,2,s12,s23
209,2,s12,s24
210,2,s13,s14
211,2,s13,s15
212,2,s13,s16
213,2,s13,s17
214,2,s13,s18
215,2,s13,s19
216,2,s13,s20
217,2,s13,s21
218,2,s13,s22
219,2,s13,s23
220,2,s13,s24
221,2,s14,s15
222,2,s14,s16
223,2,s14,s17
224,2,s14,s18
225,2,s14,s19
226,2,s14,s20
227,2,s14,s21
228,2,s14,s22
229,2,s14,s23
230,2,s14,s24
231,2,s15,s16
232,2,s15,s17
233,2,s15,s18
234,2,s15,s19
235,2,s15,s20
236,2,s15,s21
237,2,s15,s22
238,2,s15,s23
239,2,s15,s24
240,2,s16,s17
241,2,s16,s18
242,2,s16,s19
243,2,s16,s20
244,2,s16,s21
245,2,s16,s22
246,2,s16,s23
247,2,s16,s24
248,2,s17,s18
249,2,s17,s19
250,2,s17,s20
251,2,s17,s21
252,2,s17,s22
253,2,s17,s23
254,2,s17,s24
255,2,s18,s19
256,2,s18,s20
257,2,s18,s21
258,2,s18,s22
259,2,s18,s23
260,2,s18,s24
261,2,s19,s20
262,2,s19,s21
263,2,s19,s22
264,2,s19,s23
265,2,s19,s24
266,2,s20,s21
267,2,s20,s22
268,2,s20,s23
269,2,s20,s24
270,2,s21,s22
271,2,s21,s23
272,2,s21,s24
273,2,s22,s23
274,2,s22,s24
275,2,s23,s24
